product_id,date,price,platform,is_promotion
P001,2026-03-15,4.94,Amazon,False
P001,2026-03-14,5.02,Amazon,False
P001,2026-03-13,4.88,Amazon,False
P001,2026-03-12,4.75,Amazon,False
P001,2026-03-11,4.71,Amazon,False
P001,2026-03-10,5.19,Amazon,False
P001,2026-03-09,5.0,Amazon,False
P001,2026-03-08,5.04,Amazon,False
P001,2026-03-07,5.17,Amazon,False
P001,2026-03-06,4.72,Amazon,False
P001,2026-03-05,5.1,Amazon,False
P001,2026-03-04,4.11,Amazon,True
P001,2026-03-03,4.77,Amazon,False
P001,2026-03-02,5.06,Amazon,False
P001,2026-03-01,4.61,Amazon,False
P001,2026-02-28,4.98,Amazon,False
P001,2026-02-27,5.05,Amazon,False
P001,2026-02-26,3.54,Amazon,True
P001,2026-02-25,4.77,Amazon,False
P001,2026-02-24,4.66,Amazon,False
P001,2026-02-23,4.73,Amazon,False
P001,2026-02-22,4.68,Amazon,False
P001,2026-02-21,4.79,Amazon,False
P001,2026-02-20,5.17,Amazon,False
P001,2026-02-19,4.79,Amazon,False
P001,2026-02-18,3.95,Amazon,True
P001,2026-02-17,4.55,Amazon,False
P001,2026-02-16,5.14,Amazon,False
P001,2026-02-15,4.77,Amazon,False
P001,2026-02-14,4.92,Amazon,False
P001,2026-02-13,4.56,Amazon,False
P001,2026-02-12,4.69,Amazon,False
P001,2026-02-11,4.66,Amazon,False
P001,2026-02-10,5.01,Amazon,False
P001,2026-02-09,5.16,Amazon,False
P001,2026-02-08,4.57,Amazon,False
P001,2026-02-07,4.6,Amazon,False
P001,2026-02-06,4.54,Amazon,False
P001,2026-02-05,4.7,Amazon,False
P001,2026-02-04,4.53,Amazon,False
P001,2026-02-03,5.19,Amazon,False
P001,2026-02-02,4.97,Amazon,False
P001,2026-02-01,4.78,Amazon,False
P001,2026-01-31,4.89,Amazon,False
P001,2026-01-30,5.18,Amazon,False
P001,2026-01-29,4.98,Amazon,False
P001,2026-01-28,5.18,Amazon,False
P001,2026-01-27,5.17,Amazon,False
P001,2026-01-26,4.9,Amazon,False
